CodigoNave,Viaje,Rumbo,CodigoPaisCarga,CodigoPuertoCarga,CodigoPaisDesCarga,CodigoPuertoDesCarga,fechaSalida,fechaLlegada,ClaveCarga,ClaveDesCarga,CodigoPuertoCargaAntiguo,CodigoPuertoDesCargaAntiguo
SDBR,1010,E,MX,MANO1,PE,CLLO,2023-06-18,2023-06-24,ZLO|MX,CLL|PE,ZLO,CLL
SDBR,1010,E,TW,KLUG,HK,HGKG,2023-05-20,2023-05-21,KEL|TW,HKG|HK,KEL,HKG
SDBR,110,N,MX,MANO1,PE,CLLO,2023-09-15,2023-09-23,ZLO|MX,CLL|PE,ZLO,CLL
SDBR,110,N,PE,CLLO,MX,MANO1,2023-09-24,2023-10-02,CLL|PE,ZLO|MX,CLL,ZLO
SDBR,1110,E,CN,JNGN1,TW,KLUG,2023-08-03,2023-08-04,JMN|CN,KEL|TW,JMN,KEL
SDBR,1110,E,CN,SNGI,PE,CLLO,2023-08-16,2023-09-23,SHA|CN,CLL|PE,SHA,CLL
SDBR,1110,E,CN,SNZN,CN,XAMN,2023-08-08,2023-08-10,SZX|CN,XMN|CN,SZX,XMN
SDBR,1110,E,CN,XAMN,KR,BSAN,2023-08-11,2023-08-13,XMN|CN,PUS|KR,XMN,PUS
SDBR,1110,E,HK,HGKG,CN,SNZN,2023-08-07,2023-08-08,HKG|HK,SZX|CN,HKG,SZX
SDBR,1110,E,KR,BSAN,CN,SNGI,2023-08-14,2023-08-15,PUS|KR,SHA|CN,PUS,SHA
SDBR,1110,E,TW,KLUG,HK,HGKG,2023-08-05,2023-08-06,KEL|TW,HKG|HK,KEL,HKG
SDBR,1210,E,CN,JNGN1,TW,KLUG,2023-10-18,2023-10-21,JMN|CN,KEL|TW,JMN,KEL
SDBR,1210,E,CN,SNGI,KR,BSAN,2023-10-30,2023-10-31,SHA|CN,PUS|KR,SHA,PUS
SDBR,1210,E,CN,SNZN,CN,SNGI,2023-10-24,2023-10-29,SZX|CN,SHA|CN,SZX,SHA
SDBR,1210,E,HK,HGKG,CN,SNZN,2023-10-25,2023-10-25,HKG|HK,SZX|CN,HKG,SZX
SDBR,1210,E,KR,BSAN,PE,CLLO,2023-11-01,2023-11-26,PUS|KR,CLL|PE,PUS,CLL
SDBR,1210,E,TW,KLUG,HK,HGKG,2023-10-21,2023-10-22,KEL|TW,HKG|HK,KEL,HKG
SDBR,143,S,CN,NNGO,PE,CLLO,2024-02-11,2024-03-10,NGB|CN,CLL|PE,NGB,CLL
SDBR,1503,N,MX,MANO1,PE,CLLO,2024-05-30,2024-06-07,ZLO|MX,CLL|PE,ZLO,CLL
SDBR,1503,N,PE,CLLO,MX,MANO1,2024-06-08,2024-06-16,CLL|PE,ZLO|MX,CLL,ZLO
SDBR,210,E,CN,NNGO,PE,CLLO,2023-10-29,2023-11-26,NGB|CN,CLL|PE,NGB,CLL
